"","matrix(sp_nm, dim(mySpeciesOcc)[1], 1)","pa","X","Y"
"4620","Akiapolauu",1,-155.5839041,19.83941314
"4630","Akiapolauu",1,-155.5827371,19.82331195
"4647","Akiapolauu",1,-155.5813542,19.82335002
"4667","Akiapolauu",1,-155.5798302,19.82351654
"4672","Akiapolauu",1,-155.5705796,19.27441604
"4684","Akiapolauu",1,-155.5784024,19.82372681
"4704","Akiapolauu",1,-155.5769623,19.82377471
"4744","Akiapolauu",1,-155.574045,19.82392518
"4764","Akiapolauu",1,-155.5724691,19.82383052
"4782","Akiapolauu",1,-155.5710662,19.82381463
"4810","Akiapolauu",1,-155.5689927,19.82362778
"4838","Akiapolauu",1,-155.5664901,19.79136401
"4844","Akiapolauu",1,-155.5666701,19.82338128
"4935","Akiapolauu",1,-155.551659,19.27216186
"4945","Akiapolauu",1,-155.5592757,19.8001633
"4958","Akiapolauu",1,-155.5585041,19.80142952
"5005","Akiapolauu",1,-155.5553836,19.80616072
"5017","Akiapolauu",1,-155.5464421,19.29085531
"5020","Akiapolauu",1,-155.5465023,19.30211535
"5068","Akiapolauu",1,-155.5429302,19.27714194
"5098","Akiapolauu",1,-155.5490986,19.79373505
"5113","Akiapolauu",1,-155.5482046,19.79450632
"5124","Akiapolauu",1,-155.5470922,19.7965449
"5137","Akiapolauu",1,-155.5466266,19.7966599
"5210","Akiapolauu",1,-155.5331369,19.29641356
"5263","Akiapolauu",1,-155.5289068,19.31202269
"5274","Akiapolauu",1,-155.5274336,19.29971652
"5280","Akiapolauu",1,-155.5273872,19.31093301
"5285","Akiapolauu",1,-155.5267682,19.28797708
"5304","Akiapolauu",1,-155.5326895,19.78106451
"5326","Akiapolauu",1,-155.5230039,19.28437178
"5342","Akiapolauu",1,-155.5297641,19.78549455
"5353","Akiapolauu",1,-155.5217695,19.32729275
"5357","Akiapolauu",1,-155.5215211,19.31792254
"5358","Akiapolauu",1,-155.5213091,19.30658316
"5447","Akiapolauu",1,-155.5127503,19.32286594
"5531","Akiapolauu",1,-155.50441,19.36165863
"5580","Akiapolauu",1,-155.4988613,19.29528771
"5588","Akiapolauu",1,-155.4982685,19.29445597
"5591","Akiapolauu",1,-155.4978042,19.29393855
"5595","Akiapolauu",1,-155.4973399,19.29343016
"5599","Akiapolauu",1,-155.4968756,19.29291273
"5643","Akiapolauu",1,-155.4898327,19.34595572
"5663","Akiapolauu",1,-155.4869422,19.36551949
"5677","Akiapolauu",1,-155.4840711,19.33929753
"5714","Akiapolauu",1,-155.4792344,19.33337606
"5718","Akiapolauu",1,-155.4791629,19.36453294
"5782","Akiapolauu",1,-155.474759,19.36715761
"5819","Akiapolauu",1,-155.4782584,19.7719122
"6138","Akiapolauu",1,-155.4520933,19.76075002
"6178","Akiapolauu",1,-155.449043,19.74214376
"6296","Akiapolauu",1,-155.4278454,19.75189659
"6408","Akiapolauu",1,-155.4118888,19.77731707
"6420","Akiapolauu",1,-155.4102359,19.77714971
"6501","Akiapolauu",1,-155.3993786,19.79364144
"6505","Akiapolauu",1,-155.3988639,19.79112877
"6508","Akiapolauu",1,-155.3987586,19.79364976
"6518","Akiapolauu",1,-155.3976428,19.79305065
"6519","Akiapolauu",1,-155.3974896,19.79046088
"6549","Akiapolauu",1,-155.3949141,19.79240994
"6569","Akiapolauu",1,-155.3934288,19.7894226
"6592","Akiapolauu",1,-155.3915834,19.791705
"6727","Akiapolauu",1,-155.3818774,19.83250047
"6732","Akiapolauu",1,-155.3816824,19.83478787
"6734","Akiapolauu",1,-155.3815507,19.83043677
"6752","Akiapolauu",1,-155.38025,19.83344334
"6755","Akiapolauu",1,-155.380055,19.83573073
"6757","Akiapolauu",1,-155.3799234,19.83137964
"6772","Akiapolauu",1,-155.3786225,19.83438619
"6778","Akiapolauu",1,-155.3784276,19.83667359
"6779","Akiapolauu",1,-155.378296,19.83232249
"6795","Akiapolauu",1,-155.3769951,19.83532904
"6799","Akiapolauu",1,-155.3768001,19.83761643
"6802","Akiapolauu",1,-155.3766589,19.83325643
"6815","Akiapolauu",1,-155.3756434,19.846464
"6818","Akiapolauu",1,-155.375443,19.84069597
"6819","Akiapolauu",1,-155.3753677,19.83627187
"6821","Akiapolauu",1,-155.3751726,19.83855926
"6822","Akiapolauu",1,-155.3750314,19.83419925
"6841","Akiapolauu",1,-155.3738155,19.84163879
"6842","Akiapolauu",1,-155.3737402,19.83721468
"6846","Akiapolauu",1,-155.3735451,19.83950208
"6848","Akiapolauu",1,-155.373404,19.83514206
"6852","Akiapolauu",1,-155.3732343,19.84619807
"6866","Akiapolauu",1,-155.372188,19.8425816
"6867","Akiapolauu",1,-155.3722439,19.84634672
"6868","Akiapolauu",1,-155.3721127,19.83815749
"6870","Akiapolauu",1,-155.3719176,19.84044489
"6871","Akiapolauu",1,-155.3717764,19.83607583
"6887","Akiapolauu",1,-155.3705604,19.8435244
"6888","Akiapolauu",1,-155.3704852,19.83910028
"6893","Akiapolauu",1,-155.3702901,19.84138768
"6896","Akiapolauu",1,-155.3702981,19.84706798
"6897","Akiapolauu",1,-155.3701393,19.83701875
"6910","Akiapolauu",1,-155.3659376,19.64075035
"6911","Akiapolauu",1,-155.3689328,19.84446718
"6912","Akiapolauu",1,-155.3688576,19.84004305
"6918","Akiapolauu",1,-155.3686625,19.84233046
"6921","Akiapolauu",1,-155.3685118,19.83796152
"6922","Akiapolauu",1,-155.3685807,19.84710887
"6934","Akiapolauu",1,-155.3673052,19.84540995
"6936","Akiapolauu",1,-155.3672301,19.84098582
"6937","Akiapolauu",1,-155.3672432,19.84701827
"6941","Akiapolauu",1,-155.3670349,19.84327322
"6955","Akiapolauu",1,-155.3656023,19.84191954
"6960","Akiapolauu",1,-155.3654073,19.84421597
"6964","Akiapolauu",1,-155.3652566,19.839838
"6976","Akiapolauu",1,-155.3639652,19.84286241
"6980","Akiapolauu",1,-155.3636194,19.84078086
"7086","Akiapolauu",1,-155.3486184,19.58633889
"7088","Akiapolauu",1,-155.3483421,19.58502394
"7095","Akiapolauu",1,-155.347243,19.53609813
